task_id,prompt,model_a file name,model_b file name,model_c file name,category
SQL-001,"Return all ACTIVE accounts from the accounts table, showing account_id, customer_segment, and region.",task1a.sql,task1b.sql,task1c.sql,Easy
SQL-002,"Compute total txn_amount by txn_type.",task2a.sql,task2b.sql,task2c.sql,Easy
SQL-003,"Show average txn_amount by channel, rounded to 2 decimals.",task3a.sql,task3b.sql,task3c.sql,Easy
SQL-004,"Find the minimum and maximum closing_balance for each account_id.",task4a.sql,task4b.sql,task4c.sql,Easy
SQL-005,"Inner join accounts and transactions to show each txn_id with account_status.",task5a.sql,task5b.sql,task5c.sql,Easy
SQL-006,"Left join accounts to transactions and return accounts that have no transactions.",task6a.sql,task6b.sql,task6c.sql,Easy
SQL-007,"Bucket txn_amount into 'small', 'medium', and 'large' using CASE WHEN.",task7a.sql,task7b.sql,task7c.sql,Easy
SQL-008,"Extract year and month from txn_date and count transactions by year-month.",task8a.sql,task8b.sql,task8c.sql,Easy
SQL-009,"Use COALESCE to replace NULL region values with 'UNKNOWN'.",task9a.sql,task9b.sql,task9c.sql,Easy
SQL-010,"Use EXISTS to return accounts that have at least one flagged transaction.",task10a.sql,task10b.sql,task10c.sql,Easy
SQL-011,"Join accounts, transactions, and daily_balances to compute total txn_amount and average closing_balance by region.",task11a.sql,task11b.sql,task11c.sql,Medium
SQL-012,"After joining accounts and transactions, classify each transaction as 'active-high-risk', 'active-normal', or 'inactive' using CASE.",task12a.sql,task12b.sql,task12c.sql,Medium
SQL-013,"Produce one row per region with conditional counts of flagged vs unflagged transactions.",task13a.sql,task13b.sql,task13c.sql,Medium
SQL-014,"Use a CTE to isolate only ACTIVE accounts, then join that CTE to transactions.",task14a.sql,task14b.sql,task14c.sql,Medium
SQL-015,"Chain two CTEs: first total txn_amount per account, second rank accounts within each region.",task15a.sql,task15b.sql,task15c.sql,Medium
SQL-016,"Use a CTE with ROW_NUMBER to keep the latest duplicate transaction per txn_id in the duplicate-heavy variant.",task16a.sql,task16b.sql,task16c.sql,Medium
SQL-017,"Use a CTE plus ROW_NUMBER to return the top 3 highest-value transactions per account.",task17a.sql,task17b.sql,task17c.sql,Medium
SQL-018,"Create a running total of txn_amount per account ordered by txn_date.",task18a.sql,task18b.sql,task18c.sql,Medium
SQL-019,"Compute a 7-day moving average of closing_balance per account.",task19a.sql,task19b.sql,task19c.sql,Medium
SQL-020,"Use LAG to calculate day-over-day change in closing_balance for each account.",task20a.sql,task20b.sql,task20c.sql,Medium
SQL-021,"Return the first and last closing_balance observed for each account using window functions.",task21a.sql,task21b.sql,task21c.sql,Medium
SQL-022,"Build a three-CTE scorecard with account count, flagged txn count, and average balance by region.",task22a.sql,task22b.sql,task22c.sql,Medium
SQL-023,"Remove exact duplicate rows from duplicate-heavy transactions while keeping the earliest txn_id occurrence.",task23a.sql,task23b.sql,task23c.sql,Hard
SQL-024,"Deduplicate accounts by precedence rule: ACTIVE outranks SUSPENDED, which outranks CLOSED, regardless of open date.",task24a.sql,task24b.sql,task24c.sql,Hard
SQL-025,"Find transactions whose account_id does not exist in accounts and report them as referential-integrity issues.",task25a.sql,task25b.sql,task25c.sql,Hard
SQL-026,"Flag transaction outliers using z-scores computed from txn_amount within each merchant_category.",task26a.sql,task26b.sql,task26c.sql,Hard
SQL-027,"Flag balance outliers per customer_segment using the IQR method.",task27a.sql,task27b.sql,task27c.sql,Hard
SQL-028,"Build a simple funnel from account_opened → first_transaction → first_flagged_transaction and measure drop-off.",task28a.sql,task28b.sql,task28c.sql,Hard
SQL-029,"Perform cohort analysis by grouping accounts by account_open_date month and measuring later-month transaction activity.",task29a.sql,task29b.sql,task29c.sql,Hard
SQL-030,"Write a multi-step SQL ETL pipeline that ingests raw accounts, validates required fields, deduplicates, and outputs a conformed table.",task30a.sql,task30b.sql,task30c.sql,Hard
PY-001,"Load one of the accounts CSV files, skip the synthetic header row, and assert the expected five column names.",task1a.py,task1b.py,task1c.py,Easy
PY-002,"Validate that account_open_date, txn_date, and balance_date can be parsed as dates and that numeric columns have numeric dtype.",task2a.py,task2b.py,task2c.py,Easy
PY-003,"Count nulls per column in the null-heavy variant and raise an error if any column exceeds a configured threshold.",task3a.py,task3b.py,task3c.py,Easy
PY-004,"Drop exact duplicate rows from duplicate-heavy transactions and print how many were removed.",task4a.py,task4b.py,task4c.py,Easy
PY-005,"Filter the transactions table to keep only flagged transactions above a chosen amount and log the number dropped.",task5a.py,task5b.py,task5c.py,Easy
PY-006,"Clean string columns by stripping whitespace and normalizing region and customer_segment to uppercase.",task6a.py,task6b.py,task6c.py,Easy
PY-007,"Group transactions by txn_type and compute total txn_amount and row count.",task7a.py,task7b.py,task7c.py,Easy
PY-008,"Build a pivot table of total txn_amount by region and channel.",task8a.py,task8b.py,task8c.py,Easy
PY-009,"Fill null txn_amount values with the median txn_amount of the file.",task9a.py,task9b.py,task9c.py,Easy
PY-010,"Flag transactions whose channel is not in the allowed set {ATM, BRANCH, MOBILE, ONLINE}.",task10a.py,task10b.py,task10c.py,Easy
PY-011,"Write a functional ETL pipeline that loads accounts, validates schema, filters active rows, and saves output.",task11a.py,task11b.py,task11c.py,Medium
PY-012,"Create a running total of txn_amount within each account ordered by txn_date.",task12a.py,task12b.py,task12c.py,Medium
